_id,scientific_name,common_name,date,year,range,description,type,latitude,longitude,latlong,continent,country,size,commonSMame,common_SMme,image
57bbaf7e7f658b5320d3f8bf,Oligoryzomys victus,Saint Vincent pygmy rice rat,1890-01-01T00:00:00Z,1890,St. Vincent,--,land,13.91,-60.97,"13.91,-60.97",North America,LC,SM,,,
57bbaf7e7f658b5320d3f8c0,Plagiodontia ipnaeum,Samana hutia,1500-01-01T00:00:00Z,1500,Hispaniola,--,land,20,-71,"20,-71",North America,DO,ZZ,,,
57bbaf7e7f658b5320d3f8c1,Neotoma martinensis,San Martan Island woodrat,1950-01-01T00:00:00Z,1950,"San Martan Island,Mexico",--,land,30.49,-116.11,"30.49,-116.11",North America,MX,ZZ,,,
57bbaf7e7f658b5320d3f8c2,Neovison macrodon,Sea mink,1860-01-01T00:00:00Z,1860,Atlantic Canada and New England,--,land,47.27,-68.45,"47.27,-68.45",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f8c3,Sylvilagus floridanus hitchens,Smith Island cottontail,1980-01-01T00:00:00Z,1980,"Smith Island,Virginia",--,land,37.98,-76.03,"37.98,-76.03",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f8c4,Vulpes macrotis macroti,Southern California kit fox,1900-01-01T00:00:00Z,1900,"Southern California,USA",--,land,35.46,-118.21,"35.46,-118.21",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f8c5,Canis lupus young,Southern Rocky Mountains wolf,1930-01-01T00:00:00Z,1930,"Southern Rocky Mountains,USA",--,land,36.14,-106.7,"36.14,-106.7",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f8c6,Hydrodamalis gigas,Steller's sea cow,1760-01-01T00:00:00Z,1760,Commander Islands,"Related to the dugong. Within 27 years of discovery by Europeans, the slow-moving and easily captured Steller's sea cow was hunted to extinction.",land,54.98,166.32,"54.98,166.32",Europe,RU,ZZ,,,
57bbaf7e7f658b5320d3f8c7,Thomomys mazama tacomensi,Tacoma pocket gopher,1970-01-01T00:00:00Z,1970,Washington,--,land,47.56,-119.99,"47.56,-119.99",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f8c8,Boromys torrei,Torre's cave rat,1500-01-01T00:00:00Z,1500,Cuba,--,land,21.52,-77.78,"21.52,-77.78",North America,CU,SM,,,
57bbaf7e7f658b5320d3f8c9,Sorex ornatus juncensi,Tule shrew,1900-01-01T00:00:00Z,1900,"Baja California,Mexico",--,land,28.93,-113.9,"28.93,-113.9",North America,MX,ZZ,,,
57bbaf7e7f658b5320d3f8ca,Nesphontes,Nesphontes,1500-01-01T00:00:00Z,1500,Cuba,Some authorities estimate extinction coinciding with the arrivals of rats (Rattus) aboard Spanish vessels in the early 16th century,land,21.52,-77.78,"21.52,-77.78",North America,CU,ZZ,,,
57bbaf7e7f658b5320d3f8cb,Nesphontes,Nesphontes,1500-01-01T00:00:00Z,1500,Hispaniola,Some authorities estimate extinction coinciding with the arrivals of rats (Rattus) aboard Spanish vessels in the early 16th century,land,19.02,-71.11,"19.02,-71.11",North America,DO,ZZ,,,
57bbaf7e7f658b5320d3f8cc,Nesphontes,,1500-01-01T00:00:00Z,1500,Puerto Rico,Some authorities estimate extinction coinciding with the arrivals of rats aboard Spanish vessels in the early 16th century,land,18.22,-66.59,"18.22,-66.59",North America,PR,ZZ,West Indies Shrew,,
57bbaf7e7f658b5320d3f8cd,Ameiva cineracea,,1920-01-01T00:00:00Z,1920,France (Guadeloupe),Its extinction likely occurred when this area was decimated by a hurricane in 1928,reptile,16.2,-61.67,"16.2,-61.67",North America,GP,SM,,Guadeloupe ameiva lizard,
57bbaf7e7f658b5320d3f8ce,Celestus occiduus,Jamaica giant galliwasp Lizard,1840-01-01T00:00:00Z,1840,Jamaica,--,reptile,18.1,-77.29,"18.1,-77.29",North America,JM,SM,,,
57bbaf7e7f658b5320d3f8cf,Leiocephalus herminieri,Martinique curly-tailed lizard,1830-01-01T00:00:00Z,1830,France (Martinique),--,reptile,14.71,-61.06,"14.71,-61.06",North America,MQ,SM,,,
57bbaf7e7f658b5320d3f8d0,Leiocephalus eremitus,Navassa curly-tailed lizard,1910-01-01T00:00:00Z,1910,"Navassa Island,USA",--,reptile,18.4,-75.01,"18.4,-75.01",North America,US,SM,,,
57bbaf7e7f658b5320d3f8d1,Tropidophis bucculentus,Navassa Island dwarf boa,1870-01-01T00:00:00Z,1870,"Navassa Island,USA",--,reptile,18,-74.97,"18.0,-74.97",North America,US,MD,,,
57bbaf7e7f658b5320d3f8d2,Cyclura cornuta onchiopsis,Navassa Island iguana,1880-01-01T00:00:00Z,1880,"Navassa Island,USA",--,reptile,18.4,-75.01,"18.4,-75.01",North America,US,ZZ,,,
57b7c81fa63e484229d311b0,Aplonis fusca,Tasman starling,1920-01-01T00:00:00Z,1920,"Norfolk Island and Lord Howe Island,New South Wales","Last recorded 1920. Competition from introduced European starling,song thrush and common blackbird,clearance for agriculture. Predation from introduced black rats.",air,-29.04,167.95,"-29.04,167.95",Australia,NF,SM,,,
,Pinguinus impennis,Great auk,1854-01-01T00:00:00Z,1854,Iceland,--,air,64.9631,19.0208,"64.9631,19.0208",Europe,IS,SM,,,--
,Corvus corax varius,Pied raven,1950-01-01T00:00:00Z,1950,Denmark,--,air,56.2639,9.5018,"56.2639,9.5018",Europe,DK,SM,,,--
,Chondrostoma scodrense,Chondrostoma scodrense,1890-01-01T00:00:00Z,1890,Albania and Montenegro,--,marine,41.1533,20.1683,"41.1533,20.1683",Europe,AL,SM,,,--
,Coregonus bezola,Coregonus bezola,1960-01-01T00:00:00Z,1960,"Lac du Bourget, France",--,marine,45.7297,5.8696,"45.7297,5.8696",Europe,FR,SM,,,--
,Coregonus fera,Coregonus fera,1950-01-01T00:00:00Z,1950,France and Switzerland,--,marine,46.8182,8.2275,"46.8182,8.2275",Europe,FR,SM,,,--
,Coregonus restrictus,Coregonus restrictus,1890-01-01T00:00:00Z,1890,"Lake Morat, Switzerland",--,marine,46.8182,8.2275,"46.8182,8.2275",Europe,CH,SM,,,--
,Salvelinus profundus,Deepwater char,1970-01-01T00:00:00Z,1970,"Austria, Germany and Switzerland",--,marine,47.5162,14.5501,"47.5162,14.5501",Europe,DE,SM,,,--
,Coregonus hiemalis,Gravenche,1950-01-01T00:00:00Z,1950,France and Switzerland,--,marine,46.2276,2.2137,"46.2276,2.2137",Europe,CH,SM,,,--
,Coregonus oxyrinchus,Houting,1940-01-01T00:00:00Z,1940,"Belgium, France, Germany, the Netherlands and United Kingdom",--,marine,51.1657,10.4515,"51.1657,10.4515",Europe,DE,SM,,,--
,Coregonus gutturosus,Lake Constance whitemarine,1930-01-01T00:00:00Z,1930,"Austria, Germany and Switzerland",--,marine,51.1657,10.4515,"51.1657,10.4515",Europe,AT,SM,,,--
